"","x"
"1",-11.6827434654051
"2",-14.1040690438309
"3",-11.151272079132
"4",-17.8994659741249
"5",-15.6445208729468
"6",-12.5552726398826
"7",-2.48110847238077
"8",-2.57612143527577
"9",-8.45242372069157
"10",-11.8067644288418
"11",-12.8765475843188
"12",-9.87588917330896
"13",-9.67243605734988
"14",-10.5025389828469
"15",-11.5310574325792
"16",-13.4945269084493
"17",-15.4253204107315
"18",-12.4575764230377
"19",-9.30521579128749
"20",-9.89789740252658
"21",-10.611228451065
"22",-6.50318334934227
"23",-5.57825198227241
"24",-9.31523579841032
"25",-4.00381185744344
"26",-7.61887453502997
"27",-11.3929948329919
"28",-13.1654629040532
"29",-11.0502546557039
"30",-11.0806467749461
"31",-2.62956189311183
"32",-2.07715355135224
"33",-12.8824431131922
"34",-10.508726143862
"35",-11.0387343912849
"36",-9.95145762297098
"37",-10.7539625969535
"38",-9.35885621439627
"39",-10.3575218494791
"40",-9.31274211028209
"41",-9.58057448679499
"42",-6.10344686028935
"43",-7.54172113222623
"44",-9.0317102417634
"45",-6.25647516106618
"46",-5.54754025298303
"47",-2.07096829491041
"48",-6.09129800120473
"49",-7.92372111473288
"50",-7.07131121222397
"51",-11.9383236605808
"52",-13.6685938366517
"53",-15.029795718849
"54",-8.40773957147731
"55",-6.09428806016418
"56",-4.33139844193174
"57",-9.4261964736932
"58",-8.94275876713954
"59",-10.8231361442019
"60",-9.27602896904273
"61",-9.80020833423394
"62",-10.936534518132
"63",-8.83533612608304
"64",-9.33626961889557
"65",-8.97519363917405
"66",-6.5607127135281
"67",-4.88187530657303
"68",-5.53155615313347
"69",-7.49807446937261
"70",-5.13276309981374
"71",-3.15361473523742
"72",-10.2326375824416
"73",-0.906183393559422
"74",-3.21779593893456
"75",-11.3518294608257
"76",-15.1520140440519
"77",-12.797001506174
"78",-2.35337706702676
"79",6.70050158889408
"80",4.46309616369023
"81",0.952829791930377
"82",1.27827862878707
"83",1.18096673248613
"84",1.48306839487245
"85",0.768869639076878
"86",3.12922700256937
"87",3.34489984516524
"88",2.34775349356668
"89",1.70215365124694
"90",2.20661885771109
"91",-2.27625345209037
"92",-4.84912664751984
"93",-6.77639808066041
"94",-5.43882327580878
"95",-1.94543196202046
"96",0.171329057860903
"97",-0.386346945574387
"98",-0.194576645495464
"99",-4.30082798512816
"100",-6.69893257838767
"101",-3.71574398847174
"102",1.38231701829642
"103",6.27096707534318
"104",1.98506435143056
"105",-6.55663422387912
"106",-4.777429167391
"107",-4.8072382725752
"108",-4.10921436960454
"109",-6.34990888796677
"110",-8.2866325444064
"111",-3.32027979013003
"112",-3.64316183411058
"113",-5.27399792255106
"114",-4.61219650251479
"115",-5.68009068698102
"116",-3.53919631418705
"117",-10.0027904762733
"118",-4.90950072573743
"119",0.336853335060096
"120",-1.89551701416448
"121",4.94568776866494
"122",-2.03258534053561
"123",-3.92131701803272
"124",-1.96728857783765
"125",-5.41497737837511
"126",-4.94918412145507
"127",-2.5985951219485
"128",3.41699256285162
"129",6.11367769642819
"130",3.27364182488749
"131",1.12314780398937
"132",2.21757732963385
"133",1.48359169747362
"134",-2.43115572526814
"135",-4.8370047167246
"136",-5.75887509651798
"137",-3.75418240506754
"138",-1.66879027969279
"139",-1.27077856928521
"140",-4.92571085233558
"141",-3.2210944307668
"142",1.0977406078634
"143",5.24490461169361
"144",2.65444311256401
"145",0.325697174086941
"146",-1.62901912680792
"147",-4.1726335244645
"148",-3.79863972319061
"149",-5.87398215491049
"150",-4.36109309617223
"151",-9.29603604689884
"152",-1.54156720614241
"153",5.05828424347341
"154",7.4906318600886
"155",6.92039425240621
"156",7.41206109664447
"157",3.37872722582458
"158",-2.30589255392213
"159",-4.67221574141023
"160",-5.35511485816151
"161",-2.91928371172795
"162",1.6151687159165
"163",8.50018933931347
"164",8.89125235113809
"165",8.50260734910729
"166",10.8790835020691
"167",13.0035688933027
"168",5.92882281170307
"169",-2.20041591740334
"170",-8.07155597462699
"171",-5.96857797228834
"172",-12.2966089182881
"173",-11.4315102969054
"174",-8.13211354309738
"175",5.60219395996735
"176",-2.75267722622296
"177",-10.4588404893724
"178",-7.1030464471731
"179",-4.5226976546642
"180",-4.75190767585217
"181",-3.63832469383655
"182",-2.47829944409019
"183",-3.94669166863716
"184",-2.51003844643734
"185",-2.3407113426367
"186",-5.03284881518049
"187",1.10962900637007
"188",-0.212934204201719
"189",-4.60614708795845
"190",-3.94798518137964
"191",1.18706207038838
"192",-2.91980652374178
"193",-10.8482684770884
"194",-13.8432176264642
"195",-15.1872256206417
"196",-19.5695848018985
"197",-17.6242696209889
"198",-11.7345554417537
"199",-7.24336527659096
"200",-5.14085300423342
"201",-9.81603916008118
"202",-13.6022199618883
"203",-14.6121260309887
"204",-13.3647439975973
"205",-18.2071426068487
"206",-16.911929489966
"207",-10.4904881685451
"208",-5.93560257419472
"209",-8.08332941572576
"210",-13.7060964254355
"211",-12.4342654234328
"212",-12.4741485548163
"213",-10.9488073692967
"214",-10.7597666729856
"215",-5.82308918196516
"216",-6.98331367936091
"217",-5.79563209681762
"218",0.296882244543712
"219",1.24997355823494
"220",-1.67019447594209
"221",-2.20129521876032
"222",1.08086086052911
"223",7.37441145225235
"224",-0.602599497978868
"225",-1.89729875249073
"226",0.836237264177354
"227",3.59595716393226
"228",0.953158396668765
"229",0.129071274113024
"230",1.12283667274703
"231",-1.07587432728968
"232",4.00328162591826
